GLOBAL_SIZE,LOCAL_SIZE,NUM_WORK_GROUPS,MegaMultiply-Adds Per Second
1024,8,128,0.021
1024,16,64,0.023
1024,32,32,0.019
1024,64,16,0.022
1024,128,8,0.024
1024,256,4,0.018
1024,512,2,0.019
2048,8,256,0.051
2048,16,128,0.044
2048,32,64,0.038
2048,64,32,0.028
2048,128,16,0.023
2048,256,8,0.039
2048,512,4,0.041
4096,8,512,0.096
4096,16,256,0.065
4096,32,128,0.065
4096,64,64,0.1
4096,128,32,0.095
4096,256,16,0.072
4096,512,8,0.046
8192,8,1024,0.126
8192,16,512,0.057
8192,32,256,0.187
8192,64,128,0.125
8192,128,64,0.148
8192,256,32,0.144
8192,512,16,0.182
16384,8,2048,0.224
16384,16,1024,0.329
16384,32,512,0.306
16384,64,256,0.359
16384,128,128,0.289
16384,256,64,0.266
16384,512,32,0.313
32768,8,4096,0.646
32768,16,2048,0.692
32768,32,1024,0.642
32768,64,512,0.746
32768,128,256,0.501
32768,256,128,0.579
32768,512,64,0.605
65536,8,8192,1.366
65536,16,4096,1.631
65536,32,2048,1.406
65536,64,1024,1.172
65536,128,512,0.89
65536,256,256,1.231
65536,512,128,1.506
131072,8,16384,0.435
131072,16,8192,0.407
131072,32,4096,0.494
131072,64,2048,0.003
131072,128,1024,0.495
131072,256,512,0.442
131072,512,256,0.063
