MB,LOCAL_SIZE,GigaMultsPerSecond
1024,8,0.017
1024,16,0.015
1024,32,0.012
1024,128,0.018
1024,256,0.017
1024,512,0.017
4096,8,0.043
4096,16,0.075
4096,32,0.062
4096,128,0.082
4096,256,0.057
4096,512,0.049
16384,8,0.269
16384,16,0.289
16384,32,0.303
16384,128,0.167
16384,256,0.291
16384,512,0.224
65536,8,0.973
65536,16,1.1
65536,32,1.058
65536,128,0.682
65536,256,1.053
65536,512,0.98
262144,8,0.72
262144,16,1.176
262144,32,0.922
262144,128,0.731
262144,256,0.867
262144,512,1.038
1048576,8,1.984
1048576,16,2.694
1048576,32,3.917
1048576,128,0.149
1048576,256,0.275
1048576,512,2.78
2097152,8,2.34
2097152,16,3.24
2097152,32,3.975
2097152,128,4.907
2097152,256,6.198
2097152,512,4.389
4194304,8,2.754
4194304,16,4.259
4194304,32,6.051
4194304,128,6.992
4194304,256,7.846
4194304,512,6.137
8388608,8,3.058
8388608,16,5.374
8388608,32,7.863
8388608,128,9.824
8388608,256,11.224
8388608,512,11.251
